commit	profile	wall_time_s	train_total_time_s	startup_overhead_s	train_iter_time_s	train_rays_per_sec	train_batch_load_s	train_feature_cache_load_s	train_feature_gather_s	train_feature_populate_s	train_model_forward_s	train_metrics_loss_s	eval_batch_load_s	eval_feature_cache_load_s	eval_feature_gather_s	eval_feature_populate_s	eval_image_s	eval_all_images_s	peak_gpu_mem_mb	train_psnr	train_feature_error	train_foreground_acc	eval_all_psnr	eval_all_ssim	eval_all_lpips	max_quality_regression_pct	status	description	summary_path
71d189c	measure	684.6573568140157	658.9967651367188	25.660591677296907	0.05673656612634659	144802.359375	0.013376733288168907	0.00041704290197230875	0.0022389658261090517	0.0028114381711930037	0.008864899165928364	0.007254666183143854	0.5740230083465576	0.5625883936882019	0.00115875992923975	0.5638884902000427	70.0772933959961	109.30713653564453	13287.6142578125	32.833335876464844	0.0711783766746521	0.98388671875	24.821815490722656	0.9146652221679688	0.25858786702156067	0.0	keep	baseline measure run	/robodata/smodak/repos/f3rm/benchmark_runs/measure/20260315_181854_measure_71d189c/summary.json
9789320	measure	646.4178457540693	622.7002563476562	23.717589406413026	0.05562983825802803	147755.5	0.013150990009307861	0.0003861459845211357	0.002183791482821107	0.002726465929299593	0.008454888127744198	0.0070892623625695705	0.5969603061676025	0.5856055617332458	0.0012155500007793307	0.5869806408882141	52.15896987915039	107.4054183959961	13287.6142578125	32.86172866821289	0.07168185710906982	0.982421875	24.864870071411133	0.9146259427070618	0.2584609389305115	2.3858215154053437	keep	lazy viewer CLIP imports	/robodata/smodak/repos/f3rm/benchmark_runs/measure/20260315_183438_measure_9789320/summary.json
82a8a77	measure	658.3899561410071	634.2240600585938	24.165896082413383	0.052383434027433395	157110.890625	0.012619515880942345	0.00041918401257134974	0.0022243354469537735	0.0027944897301495075	0.009028451517224312	0.006964097730815411	0.5794883370399475	0.5660668611526489	0.0012910200748592615	0.567527174949646	77.56031799316406	107.33551788330078	13287.6142578125	32.96154022216797	0.07165646553039551	0.9822998046875	24.897083282470703	0.9149852395057678	0.25770047307014465	7.958019706319684	discard	skip steady-state sanitizer scans	/robodata/smodak/repos/f3rm/benchmark_runs/measure/20260315_184617_measure_82a8a77/summary.json
bf6f61a	measure	523.7608370389789	499.552978515625	24.207858523353934	0.054928265511989594	149566.328125	0.012311211787164211	0.000371189002180472	0.002149423584342003	0.0026554374489933252	0.00843676645308733	0.007067608181387186	0.5808168053627014	0.5674697160720825	0.0012640909990295768	0.5689088702201843	3.5188848972320557	25.848552703857422	13287.6142578125	32.891178131103516	0.0716739147901535	0.9837646484375	24.806394577026367	0.9147558212280273	0.258402556180954	4.268573845108933	keep	skip feature rendering during eval	/robodata/smodak/repos/f3rm/benchmark_runs/measure/20260315_185807_measure_bf6f61a/summary.json
c331243	measure	504.224964236957	479.6089172363281	24.616047000628896	0.05313790962100029	154625.859375	0.01125681959092617	0.0003851290384773165	0.0021411555353552103	0.002668865257874131	0.007966074161231518	0.007390611805021763	0.5410873293876648	0.5295178890228271	0.0011485510040074587	0.5308347344398499	3.2175986766815186	25.32963752746582	13287.6142578125	32.85460662841797	0.07178688049316406	0.98388671875	24.826566696166992	0.9146116375923157	0.2581441104412079	8.257719175818693	keep	keep CUDA cache warm during eval	/robodata/smodak/repos/f3rm/benchmark_runs/measure/20260315_190756_measure_c331243/summary.json
cceeb05	measure	575.9937087560538	551.0390014648438	24.95470729121007	0.05567809194326401	147953.453125	0.01253896951675415	0.00039571954403072596	0.0021634320728480816	0.0027145270723849535	0.008781262673437595	0.006825873628258705	0.5837302207946777	0.5699724555015564	0.0013082000659778714	0.5714665055274963	3.2691497802734375	24.63288116455078	13287.6142578125	33.01771545410156	0.07171270251274109	0.9842529296875	25.020875930786133	0.9151456952095032	0.2551042437553406	2.904456659016189	discard	double eval rays per chunk	/robodata/smodak/repos/f3rm/benchmark_runs/measure/20260315_191720_measure_cceeb05/summary.json
81a213b	measure	535.253833121038	510.9189758300781	24.334857290959917	0.05950571224093437	140326.328125	0.01545246783643961	0.0004204580036457628	0.002192040905356407	0.002778824884444475	0.009050054475665092	0.007104453630745411	0.6992014050483704	0.685021162033081	0.0011921810219064355	0.6863804459571838	3.294022798538208	25.302875518798828	13287.6142578125	32.91123580932617	0.07155802845954895	0.9835205078125	24.976276397705078	0.9152076244354248	0.2573902904987335	4.705976009596472	discard	drop eval progress bars	/robodata/smodak/repos/f3rm/benchmark_runs/measure/20260315_192810_measure_81a213b/summary.json
2b5a90a	measure	532.6265625240048	509.4695129394531	23.157049584551714	0.0567018985748291	146841.390625	0.013768009841442108	0.00040685312706045806	0.0021679240744560957	0.0027293385937809944	0.008735974319279194	0.006960252299904823	0.5788384675979614	0.5675838589668274	0.0012059399159625173	0.5689442157745361	3.214329957962036	25.331098556518555	13287.6142578125	32.78355407714844	0.07191140949726105	0.9832763671875	24.68583869934082	0.9145662784576416	0.2579152584075928	5.483223454660048	discard	skip startup cache clearing	/robodata/smodak/repos/f3rm/benchmark_runs/measure/20260315_193755_measure_2b5a90a/summary.json
38cacb7	measure	536.5336166099878	513.4447631835938	23.088853426394053	0.05824984237551689	143052.65625	0.013942467980086803	0.0004074280150234699	0.0021888762712478638	0.002758883172646165	0.009586270898580551	0.006624671630561352	0.7193663120269775	0.7091641426086426	0.001446109963580966	0.710814356803894	3.256098747253418	25.352462768554688	13287.6142578125	32.85680389404297	0.07149295508861542	0.983642578125	24.750017166137695	0.9136683940887451	0.25710123777389526	6.668111263466884	discard	drop per-step current-step scalar	/robodata/smodak/repos/f3rm/benchmark_runs/measure/20260315_194733_measure_38cacb7/summary.json
c314155	measure	8.833050793036819																									crash	cache trainer optimizer metadata	/robodata/smodak/repos/f3rm/benchmark_runs/measure/20260315_195720_measure_c314155/summary.json
7075e21	measure	614.7917931720149	590.1871337890625	24.604659382952377	0.10048700869083405	87412.9375	0.033026233315467834	0.0008930719923228025	0.0029862772207707167	0.004250991158187389	0.022154245525598526	0.0061466284096241	1.2716596126556396	1.2421562671661377	0.0015406899619847536	1.2440872192382812	4.647627830505371	33.27415084838867	13239.6767578125	32.96974563598633	0.07121127843856812	0.9840087890625	24.835893630981445	0.9145662784576416	0.2576521635055542	1.261964038082989	discard	cache per-step loss terms	/robodata/smodak/repos/f3rm/benchmark_runs/measure/20260315_195854_measure_7075e21/summary.json
